id,budokai_help_category_id,num,title,description,created_at,updated_at
1,1,1,Basic Rules,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
2,1,2,Joining a Tournament,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
3,1,3,Tournament Pts,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
4,1,4,Rankings,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
5,1,5,Tiers and Leagues,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
6,2,6,Going Round the Board,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
7,2,7,Events,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
8,2,8,Collecting Pick-Ups,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
9,2,9,Finishing the Game,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
10,3,10,How to Battle,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
11,3,11,Points From Battles,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
12,3,12,Completing a Battle,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
13,4,13,Rewards and Pick-Ups,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
14,4,14,Ranking Rewards,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
15,4,15,Mission Rewards,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
16,1,16,Friends,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
17,1,17,Bonus Points,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
18,1,18,Local Ranking,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
19,4,19,Local Ranking Rewards,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
20,1,20,Win Streak Bonus,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
21,1,21,Ambition,<Not displayed>,2024-07-24 07:39:45.066426,2024-07-24 07:39:45.066426
