id,finish_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
1,1,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
2,1,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
3,1,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
4,1,1,{},0,1,118,,"[15,435,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
5,2,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
6,2,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
7,2,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
8,2,1,{},0,1,118,,"[15,4830,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
9,3,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
10,3,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
11,3,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
12,3,1,{},0,1,118,,"[15,570,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
13,4,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
14,4,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
15,4,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
16,4,1,{},0,1,118,,"[20,6440,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
17,5,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
18,5,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
19,6,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
20,6,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
21,7,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
22,7,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
23,7,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
24,7,1,{},0,1,4,2.0,"[30,0,0]",,46.0,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
25,7,1,{},0,3,5,0.0,"[3,0,0]",5014.0,43.0,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
26,8,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
27,8,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
28,8,1,{},0,1,103,,"[4026920,0,1745]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
29,9,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
30,9,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
31,9,1,{},0,1,103,,"[4026921,0,1746]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
32,10,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
33,10,1,{},0,1,116,,"{""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
34,10,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
35,10,1,{},0,1,118,,"[50,12100,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
36,11,1,{},0,1,115,,"{""type"":""special_counter"",""is_active"":false}",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
37,11,1,{},0,1,119,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
38,11,1,{},0,1,120,,"[0,100,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
39,11,1,{},0,1,90,,"[100,0,0]",5011.0,44.0,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
40,11,1,{},0,1,117,,"[0,0,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
41,12,1,{},0,1,110,,"[15,37,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
42,12,1,{},0,1,110,,"[15,38,0]",,,2024-07-16 08:42:44.060847,2024-07-16 08:42:44.060847
