name,seq
budokai_progress_selifs,9234
potential_squares,22500335
quest_category_bonus_groups,1
quest_category_bonus_rarity_tables,100
quest_category_bonuses,175003
quest_drop_item_views,250
quests,1505001
rank_ranges,4
rank_statuses,999
related_card_categories,1000868
related_link_skills,3064000
related_optimal_awakenings,704001
related_passive_skill_sets,20670163
rmbattle_bgm_patterns,1
rmbattle_help_bodies,24
rmbattle_help_categories,999
rmbattle_helps,9
rmbattle_mission_rewards,922056
rmbattle_missions,74023
score_benefits,619
sd_arenas,143
sd_characters,4025590
sd_help_bodies,15
sd_help_categories,1
sd_helps,6
sd_maps,30
sd_packs,1600
link_skill_lv_up_item_conditions,9
link_skill_lv_up_items,3
link_skill_lvs,100410
link_skills,1004
marquees,902
mission_board_campaigns,1001
mission_boards,5
mission_categories,9100263
mission_category_rewards,9100263
mission_periods,911459
mission_rewards,9917828
optimal_awakening_growths,3793
passive_skill_effects,53
passive_skill_set_relations,90020001
passive_skill_sets,9002
passive_skills,40004136
points,10000003
potential_boards,225
potential_event_selection_tables,25
potential_event_selections,54
potential_events,133
potential_items,84
potential_skill_lv_values,1174
potential_skills,7
potential_square_condition_set_relations,2505
potential_square_condition_sets,788
potential_square_conditions,655
potential_square_relations,30200
sd_stages,715
support_memory_enhancement_require_items,68
support_memory_skills,5000754
tips,207
title_screens,64
training_fields,13
training_items,9105
transformation_descriptions,461
transformation_type_names,27
treasure_items,91002
tutorial_phases,9000
tutorial_processes,90000
tutorial_steps,9000
ultimate_specials,70
wallpaper_items,45
z_battle_check_points,704000
z_battle_enemies,704000
z_battle_enemy_card_escalations,704000
z_battle_enemy_skill_escalations,704009
z_battle_enemy_status_escalations,704003
z_battle_first_reward_level_ranges,704000
z_battle_first_rewards,704001
z_battle_normal_reward_tables,704000
z_battle_normal_rewards,704000
z_battle_powerup_thresholds,704000
z_battle_powerup_views,8
z_battle_stage_levelup_views,5
z_battle_stage_views,704000
z_battle_stages,704
shops,5
skill_causalities,3170
skill_groups,41
skill_labels,2
sound_effect_offsets,195
special_bonuses,19
special_categories,3
special_items,9999
special_sets,9999
special_views,14507
specials,91002732
standby_skill_set_finish_skill_set_relations,26
standby_skill_sets,16
standby_skills,42
status_extensions,10
sub_target_type_sets,560
sub_target_types,1159
sugoroku_map_puzzle_colors,18
sugoroku_maps,15050014
support_films,5
support_items,90001
support_memories,500075
support_memory_enhancement_items,500074
support_memory_enhancement_levels,58
budokai_ranking_gift_sets,92320
budokai_ranking_gifts,9322401
budokai_ranks,92312
budokais,923
card_active_skills,378
card_awakening_routes,10004
card_awakening_sets,99999
card_awakenings,901005
card_card_categories,91002551003
card_categories,92
card_costume_conditions,6
card_costumes,3
card_decorations,530
card_exps,2340
card_finish_skill_set_relations,26
card_growths,1310
card_motions,91580
card_specials,14608
card_standby_skill_set_relations,16
card_sticker_decoration_relations,9772
card_sticker_items,17
card_training_field_exp_up_probs,3
card_training_skill_lv_up_probs,6
card_training_skill_lvs,16
card_unique_info_set_relations,856
card_unique_infos,10107
cards,91002551
chain_battle_help_bodies,30
achievement_categories,30144
achievements,1616
act_cure_schedules,1
act_items,3
active_skill_sets,244
active_skills,314
area_conditions,13
area_recommends,2
area_tabs,999
areas,10001
awakening_items,900006
battle_params,4007
bgm_schedules,20
boost_schedules,48
budokai_box_ranking_reward_ranges,9231201
budokai_box_ranking_rewards,92336
budokai_box_rankings,9231
budokai_help_bodies,57
budokai_help_categories,4
budokai_helps,21
budokai_leagues,9233
budokai_mission_rewards,932045
budokai_missions,923078
budokai_motivation_unlock_conditions,92312
budokai_motivations,92312
budokai_opponent_attack_weight_lines,923412
budokai_opponent_attack_weights,9234
enemy_round_skill_set_relations,31
enemy_round_skill_sets,30
enemy_round_skills,31
enemy_skills,1001090
equipment_skill_items,3758
equipment_skill_limitations,127
equipment_skills,375800
eventkagi_items,1003
exchangeable_items,9
finish_skill_sets,12
finish_skills,42
finish_specials,8
forced_scripts,2175
genkai_gimmick_sub_categories,19
help_bodies,90104
help_categories,15
helps,901
item_card_properties,13
jukebox_albums,21
jukebox_tracks,908
jukebox_unlock_conditions,60
leader_skill_sets,9999999
leader_skills,102877201
level_bgs,2008
link_skill_efficacies,10041001
chain_battle_help_categories,3
chain_battle_helps,15
chain_battle_mission_periods,172
chain_battle_mission_rewards,2809
chain_battle_missions,796
chain_battle_ranking_gift_sets,351
chain_battle_ranking_gifts,900009
chapter_properties,6
chapters,6
characters,1398
collection_cards,3001150
collection_categories,9
collection_uniques,626
db_stories,4
dialog_bodies,3010
dialogs,3010
dokkan_field_active_skill_set_relations,5
dokkan_field_efficacies,4000004
dokkan_field_efficacy_sets,4
dokkan_field_passive_skill_relations,1
dokkan_fields,4
dot_character_growths,103012
dot_character_lv_rewards,350
dot_characters,1029
effect_packs,1500025
enemy_ai_conditions,99999
missions,90017514
